auc,precision,recall,f1,tn,fp,fn,tp,flagged_points,flagged_rate_%,n_eval,hybrid,configuration,thresholds,q_MP,q_Z,q_LOF,q_IF
0.6233276181643821,0.28975265017667845,0.33884297520661155,0.31238095238095237,5938,603,480,246,849,11.68295032337966,7267,MP OR LOF OR IF,MP@p97 OR LOF@p99 OR IF@p92,"{'MP': 2.1274994965344325, 'LOF': 4.376959565620132, 'IF': 0.5192546708495505}",97,,99.0,92.0
0.6238641786097693,0.2877030162412993,0.3415977961432507,0.3123425692695214,5927,614,478,248,862,11.861841199944957,7267,MP OR LOF OR IF,MP@p99 OR LOF@p99 OR IF@p90,"{'MP': 2.2699698509656385, 'LOF': 4.376959565620132, 'IF': 0.5088267634912716}",99,,99.0,90.0
0.6331393250372834,0.25939505041246563,0.38980716253443526,0.31150247660979635,5733,808,443,283,1091,15.013072794825925,7267,MP OR Z OR IF,MP@p97 OR Z@p97 OR IF@p90,"{'MP': 2.1274994965344325, 'Z': 2.5133716943799493, 'IF': 0.5088267634912716}",97,97.0,,90.0
0.6138246230704988,0.3312597200622084,0.29338842975206614,0.3111760409057706,6111,430,513,213,643,8.848217971652677,7267,MP OR LOF OR IF,MP@p98 OR LOF@p98 OR IF@p95,"{'MP': 2.1902390667101694, 'LOF': 2.973435120910082, 'IF': 0.5521145861141614}",98,,98.0,95.0
0.6184236073118786,0.3054448871181939,0.3168044077134986,0.3110209601081812,6018,523,496,230,753,10.361910004128251,7267,MP OR Z OR IF,MP@p99 OR Z@p95 OR IF@p95,"{'MP': 2.2699698509656385, 'Z': 2.267401904240304, 'IF': 0.5521145861141614}",99,95.0,,95.0
0.6322970009471935,0.25970425138632164,0.38705234159779617,0.3108407079646018,5740,801,445,281,1082,14.889225264896107,7267,MP OR Z OR IF,MP@p95 OR Z@p97 OR IF@p92,"{'MP': 2.0441557230389535, 'Z': 2.5133716943799493, 'IF': 0.5192546708495505}",95,97.0,,92.0
0.6221802674631683,0.28688524590163933,0.33746556473829203,0.310126582278481,5932,609,481,245,854,11.751754506674006,7267,MP OR LOF OR IF,MP@p98 OR LOF@p98 OR IF@p92,"{'MP': 2.1902390667101694, 'LOF': 2.973435120910082, 'IF': 0.5192546708495505}",98,,98.0,92.0
0.6256304269361767,0.27291886195995785,0.35674931129476584,0.3092537313432836,5851,690,467,259,949,13.059033989266547,7267,MP OR Z OR IF,MP@p99 OR Z@p95 OR IF@p92,"{'MP': 2.2699698509656385, 'Z': 2.267401904240304, 'IF': 0.5192546708495505}",99,95.0,,92.0
0.629309909142712,0.2622478386167147,0.3760330578512397,0.3089983022071307,5773,768,453,273,1041,14.325030961882483,7267,MP OR IF,MP@p95 OR IF@p90,"{'MP': 2.0441557230389535, 'IF': 0.5088267634912716}",95,,,90.0
0.626320606237494,0.27010309278350514,0.3608815426997245,0.3089622641509434,5833,708,464,262,970,13.348011559102794,7267,MP OR Z OR IF,MP@p92 OR Z@p99 OR IF@p95,"{'MP': 1.9369064888021124, 'Z': 3.0736821262882095, 'IF': 0.5521145861141614}",92,99.0,,95.0
0.61505357391794,0.3125884016973126,0.3044077134986226,0.30844382414515004,6055,486,505,221,707,9.728911517820283,7267,MP OR LOF OR IF,MP@p97 OR LOF@p98 OR IF@p95,"{'MP': 2.1274994965344325, 'LOF': 2.973435120910082, 'IF': 0.5521145861141614}",97,,98.0,95.0
0.61505357391794,0.3125884016973126,0.3044077134986226,0.30844382414515004,6055,486,505,221,707,9.728911517820283,7267,MP OR LOF OR IF,MP@p98 OR LOF@p97 OR IF@p95,"{'MP': 2.1902390667101694, 'LOF': 2.2258052829967334, 'IF': 0.5521145861141614}",98,,97.0,95.0
0.6334502479170377,0.25064822817631804,0.39944903581267216,0.30801911842804036,5674,867,436,290,1157,15.921288014311271,7267,MP OR Z OR IF,MP@p95 OR Z@p98 OR IF@p90,"{'MP': 2.0441557230389535, 'Z': 2.724585907467929, 'IF': 0.5088267634912716}",95,98.0,,90.0
0.6234856592217852,0.27589967284623773,0.3484848484848485,0.30797321972002434,5877,664,473,253,917,12.618687216182744,7267,MP OR LOF OR IF,MP@p97 OR LOF@p98 OR IF@p92,"{'MP': 2.1274994965344325, 'LOF': 2.973435120910082, 'IF': 0.5192546708495505}",97,,98.0,92.0
0.6234856592217852,0.27589967284623773,0.3484848484848485,0.30797321972002434,5877,664,473,253,917,12.618687216182744,7267,MP OR LOF OR IF,MP@p98 OR LOF@p97 OR IF@p92,"{'MP': 2.1902390667101694, 'LOF': 2.2258052829967334, 'IF': 0.5192546708495505}",98,,97.0,92.0
0.6239457787559968,0.2738990332975295,0.3512396694214876,0.30778515389257693,5865,676,471,255,931,12.811338929406908,7267,MP OR LOF OR IF,MP@p99 OR LOF@p98 OR IF@p90,"{'MP': 2.2699698509656385, 'LOF': 2.973435120910082, 'IF': 0.5088267634912716}",99,,98.0,90.0
0.6328387206276325,0.24892703862660945,0.39944903581267216,0.3067160232681121,5666,875,436,290,1165,16.03137470758222,7267,MP OR Z OR IF,MP@p92 OR Z@p99 OR IF@p92,"{'MP': 1.9369064888021124, 'Z': 3.0736821262882095, 'IF': 0.5192546708495505}",92,99.0,,92.0
0.6227976910212043,0.2732181425485961,0.3484848484848485,0.3062953995157385,5868,673,473,253,926,12.742534746112563,7267,MP OR LOF OR IF,MP@p98 OR LOF@p99 OR IF@p90,"{'MP': 2.1902390667101694, 'LOF': 4.376959565620132, 'IF': 0.5088267634912716}",98,,99.0,90.0
0.6248674918915778,0.2665985699693565,0.359504132231405,0.306158357771261,5823,718,465,261,979,13.471859089032613,7267,MP OR LOF OR IF,MP@p97 OR LOF@p97 OR IF@p92,"{'MP': 2.1274994965344325, 'LOF': 2.2258052829967334, 'IF': 0.5192546708495505}",97,,97.0,92.0
0.6163589656765569,0.2974025974025974,0.3154269972451791,0.30614973262032086,6000,541,497,229,770,10.595844227329021,7267,MP OR LOF OR IF,MP@p97 OR LOF@p97 OR IF@p95,"{'MP': 2.1274994965344325, 'LOF': 2.2258052829967334, 'IF': 0.5521145861141614}",97,,97.0,95.0
0.6165890254436626,0.296010296010296,0.3168044077134986,0.3060545575515635,5994,547,496,230,777,10.692170083941104,7267,MP OR LOF OR IF,MP@p95 OR LOF@p99 OR IF@p95,"{'MP': 2.0441557230389535, 'LOF': 4.376959565620132, 'IF': 0.5521145861141614}",95,,99.0,95.0
0.625174729603438,0.264321608040201,0.3622589531680441,0.30563625798954097,5809,732,463,263,995,13.692032475574514,7267,MP OR LOF OR IF,MP@p99 OR LOF@p97 OR IF@p90,"{'MP': 2.2699698509656385, 'LOF': 2.2258052829967334, 'IF': 0.5088267634912716}",99,,97.0,90.0
0.6242552275685936,0.2661207778915046,0.3581267217630854,0.3053435114503817,5824,717,466,260,977,13.444337415714875,7267,MP OR LOF OR IF,MP@p95 OR LOF@p99 OR IF@p92,"{'MP': 2.0441557230389535, 'LOF': 4.376959565620132, 'IF': 0.5192546708495505}",95,,99.0,92.0
0.6178929431351219,0.28780487804878047,0.325068870523416,0.3053040103492885,5957,584,490,236,820,11.283886060272465,7267,MP OR Z OR IF,MP@p98 OR Z@p95 OR IF@p95,"{'MP': 2.1902390667101694, 'Z': 2.267401904240304, 'IF': 0.5521145861141614}",98,95.0,,95.0
0.6244088464245238,0.2649746192893401,0.359504132231405,0.3050847457627119,5817,724,465,261,985,13.554424108985826,7267,MP OR LOF OR IF,MP@p99 OR LOF@p95 OR IF@p92,"{'MP': 2.2699698509656385, 'LOF': 1.6196991083641434, 'IF': 0.5192546708495505}",99,,95.0,92.0
0.6016425109175731,0.4146919431279621,0.24104683195592286,0.3048780487804878,6294,247,551,175,422,5.807073070042659,7267,MP OR Z OR IF,MP@p98 OR Z@p99 OR IF@p97,"{'MP': 2.1902390667101694, 'Z': 3.0736821262882095, 'IF': 0.5959098956330237}",98,99.0,,97.0
0.6158238792983272,0.2947232947232947,0.3154269972451791,0.3047238855622089,5993,548,497,229,777,10.692170083941104,7267,MP OR LOF OR IF,MP@p99 OR LOF@p95 OR IF@p95,"{'MP': 2.2699698509656385, 'LOF': 1.6196991083641434, 'IF': 0.5521145861141614}",99,,95.0,95.0
0.6281655065758135,0.2541436464088398,0.38016528925619836,0.304635761589404,5731,810,450,276,1086,14.944268611531582,7267,MP OR Z OR IF,MP@p99 OR Z@p95 OR IF@p90,"{'MP': 2.2699698509656385, 'Z': 2.267401904240304, 'IF': 0.5088267634912716}",99,95.0,,90.0
0.6241030827798211,0.2639029322548028,0.359504132231405,0.3043731778425656,5813,728,465,261,989,13.609467455621301,7267,MP OR LOF OR IF,MP@p97 OR LOF@p99 OR IF@p90,"{'MP': 2.1274994965344325, 'LOF': 4.376959565620132, 'IF': 0.5088267634912716}",97,,99.0,90.0
0.6329952876178779,0.24319868095630667,0.40633608815426997,0.3042805569881382,5623,918,431,295,1213,16.691894867207925,7267,MP OR Z OR IF,MP@p95 OR Z@p97 OR IF@p90,"{'MP': 2.0441557230389535, 'Z': 2.5133716943799493, 'IF': 0.5088267634912716}",95,97.0,,90.0
0.62509976275942,0.2608267716535433,0.3650137741046832,0.30424799081515497,5790,751,461,265,1016,13.98101004541076,7267,MP OR Z OR IF,MP@p98 OR Z@p95 OR IF@p92,"{'MP': 2.1902390667101694, 'Z': 2.267401904240304, 'IF': 0.5192546708495505}",98,95.0,,92.0
0.6229557320786073,0.26156941649899396,0.3581267217630854,0.3023255813953488,5807,734,466,260,994,13.678271638915646,7267,MP OR LOF OR IF,MP@p98 OR LOF@p98 OR IF@p90,"{'MP': 2.1902390667101694, 'LOF': 2.973435120910082, 'IF': 0.5088267634912716}",98,,98.0,90.0
0.616899948323417,0.28113879003558717,0.32644628099173556,0.30210325047801145,5935,606,489,237,843,11.600385303426448,7267,MP OR LOF OR IF,MP@p95 OR LOF@p98 OR IF@p95,"{'MP': 2.0441557230389535, 'LOF': 2.973435120910082, 'IF': 0.5521145861141614}",95,,98.0,95.0
